"start","end","Alone."
2015-01-04,2015-01-10,61
2015-01-11,2015-01-17,75
2015-01-18,2015-01-24,83
2015-01-25,2015-01-31,64
2015-02-01,2015-02-07,54
2015-02-08,2015-02-14,53
2015-02-15,2015-02-21,51
2015-02-22,2015-02-28,47
2015-03-01,2015-03-07,46
2015-03-08,2015-03-14,46
2015-03-15,2015-03-21,45
2015-03-22,2015-03-28,46
2015-03-29,2015-04-04,49
2015-04-05,2015-04-11,47
2015-04-12,2015-04-18,45
2015-04-19,2015-04-25,45
2015-04-26,2015-05-02,46
2015-05-03,2015-05-09,44
2015-05-10,2015-05-16,43
2015-05-17,2015-05-23,43
2015-05-24,2015-05-30,43
2015-05-31,2015-06-06,43
2015-06-07,2015-06-13,45
2015-06-14,2015-06-20,45
2015-06-21,2015-06-27,46
2015-06-28,2015-07-04,45
2015-07-05,2015-07-11,46
2015-07-12,2015-07-18,45
2015-07-19,2015-07-25,45
2015-07-26,2015-08-01,45
2015-08-02,2015-08-08,46
2015-08-09,2015-08-15,47
2015-08-16,2015-08-22,48
2015-08-23,2015-08-29,43
2015-08-30,2015-09-05,42
2015-09-06,2015-09-12,42
2015-09-13,2015-09-19,41
2015-09-20,2015-09-26,42
2015-09-27,2015-10-03,41
2015-10-04,2015-10-10,42
2015-10-11,2015-10-17,43
2015-10-18,2015-10-24,43
2015-10-25,2015-10-31,43
2015-11-01,2015-11-07,44
2015-11-08,2015-11-14,46
2015-11-15,2015-11-21,46
2015-11-22,2015-11-28,52
2015-11-29,2015-12-05,55
2015-12-06,2015-12-12,57
2015-12-13,2015-12-19,62
2015-12-20,2015-12-26,100
2015-12-27,2016-01-02,62
2016-01-03,2016-01-09,47
2016-01-10,2016-01-16,43
2016-01-17,2016-01-23,44
2016-01-24,2016-01-30,44
2016-01-31,2016-02-06,41
2016-02-07,2016-02-13,42
2016-02-14,2016-02-20,42
2016-02-21,2016-02-27,42
2016-02-28,2016-03-05,40
2016-03-06,2016-03-12,41
2016-03-13,2016-03-19,41
2016-03-20,2016-03-26,42
2016-03-27,2016-04-02,44
