"start","Bajrangi.Bhaijaan.movie."
2015-06-01,2
2015-06-02,1
2015-06-03,2
2015-06-04,2
2015-06-05,2
2015-06-06,2
2015-06-07,2
2015-06-08,1
2015-06-09,1
2015-06-10,1
2015-06-11,2
2015-06-12,2
2015-06-13,2
2015-06-14,2
2015-06-15,2
2015-06-16,2
2015-06-17,2
2015-06-18,3
2015-06-19,3
2015-06-20,3
2015-06-21,3
2015-06-22,2
2015-06-23,2
2015-06-24,2
2015-06-25,3
2015-06-26,3
2015-06-27,3
2015-06-28,3
2015-06-29,2
2015-06-30,2
2015-07-01,2
2015-07-02,3
2015-07-03,3
2015-07-04,4
2015-07-05,4
2015-07-06,3
2015-07-07,3
2015-07-08,3
2015-07-09,3
2015-07-10,4
2015-07-11,5
2015-07-12,5
2015-07-13,4
2015-07-14,5
2015-07-15,5
2015-07-16,10
2015-07-17,58
2015-07-18,100
2015-07-19,93
2015-07-20,77
2015-07-21,73
2015-07-22,66
2015-07-23,63
2015-07-24,62
2015-07-25,78
2015-07-26,69
2015-07-27,44
2015-07-28,40
2015-07-29,35
2015-07-30,33
2015-07-31,37
