"start","Bewakoofiyaan.movie."
2014-02-01,0
2014-02-02,0
2014-02-03,1
2014-02-04,1
2014-02-05,1
2014-02-06,7
2014-02-07,3
2014-02-08,4
2014-02-09,2
2014-02-10,2
2014-02-11,2
2014-02-12,2
2014-02-13,1
2014-02-14,3
2014-02-15,1
2014-02-16,2
2014-02-17,2
2014-02-18,3
2014-02-19,3
2014-02-20,3
2014-02-21,5
2014-02-22,3
2014-02-23,2
2014-02-24,3
2014-02-25,3
2014-02-26,2
2014-02-27,4
2014-02-28,2
2014-03-01,3
2014-03-02,4
2014-03-03,4
2014-03-04,4
2014-03-05,6
2014-03-06,3
2014-03-07,6
2014-03-08,5
2014-03-09,7
2014-03-10,6
2014-03-11,8
2014-03-12,9
2014-03-13,14
2014-03-14,71
2014-03-15,100
2014-03-16,75
2014-03-17,53
2014-03-18,50
2014-03-19,42
2014-03-20,39
2014-03-21,34
2014-03-22,45
2014-03-23,33
2014-03-24,21
2014-03-25,19
2014-03-26,22
2014-03-27,21
2014-03-28,30
2014-03-29,45
2014-03-30,32
2014-03-31,21
