"start","Bhoothnath.Returns.movie."
2014-02-01,6
2014-02-02,6
2014-02-03,5
2014-02-04,5
2014-02-05,5
2014-02-06,5
2014-02-07,6
2014-02-08,5
2014-02-09,5
2014-02-10,5
2014-02-11,5
2014-02-12,7
2014-02-13,10
2014-02-14,9
2014-02-15,9
2014-02-16,6
2014-02-17,5
2014-02-18,5
2014-02-19,5
2014-02-20,5
2014-02-21,5
2014-02-22,6
2014-02-23,6
2014-02-24,5
2014-02-25,5
2014-02-26,16
2014-02-27,16
2014-02-28,17
2014-03-01,6
2014-03-02,11
2014-03-03,12
2014-03-04,6
2014-03-05,10
2014-03-06,10
2014-03-07,15
2014-03-08,23
2014-03-09,34
2014-03-10,28
2014-03-11,27
2014-03-12,14
2014-03-13,29
2014-03-14,20
2014-03-15,49
2014-03-16,30
2014-03-17,19
2014-03-18,21
2014-03-19,21
2014-03-20,31
2014-03-21,32
2014-03-22,77
2014-03-23,64
2014-03-24,46
2014-03-25,55
2014-03-26,61
2014-03-27,55
2014-03-28,71
2014-03-29,100
2014-03-30,85
2014-03-31,59
