"start","Chashme.Baddoor.movie."
2013-02-01,0
2013-02-02,0
2013-02-03,1
2013-02-04,1
2013-02-05,1
2013-02-06,1
2013-02-07,1
2013-02-08,1
2013-02-09,2
2013-02-10,2
2013-02-11,1
2013-02-12,1
2013-02-13,2
2013-02-14,1
2013-02-15,2
2013-02-16,4
2013-02-17,5
2013-02-18,4
2013-02-19,4
2013-02-20,3
2013-02-21,2
2013-02-22,3
2013-02-23,2
2013-02-24,3
2013-02-25,2
2013-02-26,3
2013-02-27,3
2013-02-28,3
2013-03-01,3
2013-03-02,3
2013-03-03,1
2013-03-04,2
2013-03-05,2
2013-03-06,2
2013-03-07,3
2013-03-08,3
2013-03-09,4
2013-03-10,3
2013-03-11,2
2013-03-12,4
2013-03-13,4
2013-03-14,3
2013-03-15,4
2013-03-16,3
2013-03-17,3
2013-03-18,4
2013-03-19,3
2013-03-20,3
2013-03-21,4
2013-03-22,5
2013-03-23,4
2013-03-24,5
2013-03-25,2
2013-03-26,5
2013-03-27,5
2013-03-28,8
2013-03-29,9
2013-03-30,12
2013-03-31,10
2013-04-01,9
2013-04-02,11
2013-04-03,10
2013-04-04,19
2013-04-05,72
2013-04-06,100
2013-04-07,75
2013-04-08,54
2013-04-09,52
2013-04-10,42
2013-04-11,46
2013-04-12,51
2013-04-13,64
2013-04-14,50
2013-04-15,31
2013-04-16,20
2013-04-17,32
2013-04-18,23
2013-04-19,28
2013-04-20,41
2013-04-21,35
2013-04-22,22
2013-04-23,18
2013-04-24,17
2013-04-25,18
2013-04-26,23
2013-04-27,27
2013-04-28,26
2013-04-29,17
2013-04-30,17
