"start","Chennai.Express.movie."
2013-06-01,1
2013-06-02,1
2013-06-03,1
2013-06-04,1
2013-06-05,1
2013-06-06,1
2013-06-07,1
2013-06-08,1
2013-06-09,1
2013-06-10,1
2013-06-11,1
2013-06-12,1
2013-06-13,3
2013-06-14,5
2013-06-15,4
2013-06-16,4
2013-06-17,3
2013-06-18,3
2013-06-19,3
2013-06-20,3
2013-06-21,4
2013-06-22,4
2013-06-23,3
2013-06-24,3
2013-06-25,2
2013-06-26,3
2013-06-27,3
2013-06-28,3
2013-06-29,4
2013-06-30,4
2013-07-01,3
2013-07-02,4
2013-07-03,3
2013-07-04,3
2013-07-05,4
2013-07-06,6
2013-07-07,6
2013-07-08,4
2013-07-09,4
2013-07-10,3
2013-07-11,3
2013-07-12,4
2013-07-13,5
2013-07-14,4
2013-07-15,3
2013-07-16,3
2013-07-17,3
2013-07-18,3
2013-07-19,4
2013-07-20,4
2013-07-21,4
2013-07-22,3
2013-07-23,3
2013-07-24,4
2013-07-25,3
2013-07-26,4
2013-07-27,6
2013-07-28,6
2013-07-29,5
2013-07-30,5
2013-07-31,5
2013-08-01,7
2013-08-02,8
2013-08-03,10
2013-08-04,10
2013-08-05,10
2013-08-06,10
2013-08-07,14
2013-08-08,36
2013-08-09,88
2013-08-10,100
2013-08-11,87
2013-08-12,64
2013-08-13,60
2013-08-14,58
2013-08-15,65
2013-08-16,57
2013-08-17,66
2013-08-18,59
2013-08-19,39
2013-08-20,40
2013-08-21,35
2013-08-22,33
2013-08-23,37
2013-08-24,50
2013-08-25,46
2013-08-26,28
2013-08-27,25
2013-08-28,28
2013-08-29,25
2013-08-30,28
2013-08-31,36
