"start","Dirty.Politics.movie."
2014-12-01,3
2014-12-02,1
2014-12-03,1
2014-12-04,1
2014-12-05,2
2014-12-06,3
2014-12-07,4
2014-12-08,3
2014-12-09,4
2014-12-10,2
2014-12-11,3
2014-12-12,3
2014-12-13,2
2014-12-14,2
2014-12-15,1
2014-12-16,1
2014-12-17,2
2014-12-18,1
2014-12-19,3
2014-12-20,3
2014-12-21,20
2014-12-22,99
2014-12-23,100
2014-12-24,78
2014-12-25,72
2014-12-26,53
2014-12-27,68
2014-12-28,37
2014-12-29,32
2014-12-30,30
2014-12-31,20
2015-01-01,25
2015-01-02,23
2015-01-03,25
2015-01-04,22
2015-01-05,43
2015-01-06,30
2015-01-07,23
2015-01-08,24
2015-01-09,20
2015-01-10,16
2015-01-11,14
2015-01-12,16
2015-01-13,15
2015-01-14,15
2015-01-15,12
2015-01-16,17
2015-01-17,20
2015-01-18,16
2015-01-19,14
2015-01-20,25
2015-01-21,32
2015-01-22,28
2015-01-23,31
2015-01-24,35
2015-01-25,63
2015-01-26,35
2015-01-27,27
2015-01-28,25
2015-01-29,27
2015-01-30,28
2015-01-31,40
2015-02-01,44
2015-02-02,37
2015-02-03,34
2015-02-04,35
2015-02-05,36
2015-02-06,43
2015-02-07,44
2015-02-08,33
2015-02-09,29
2015-02-10,33
2015-02-11,37
2015-02-12,42
2015-02-13,73
2015-02-14,89
2015-02-15,64
2015-02-16,68
2015-02-17,60
2015-02-18,57
2015-02-19,58
2015-02-20,53
2015-02-21,66
2015-02-22,53
2015-02-23,36
2015-02-24,40
2015-02-25,32
2015-02-26,43
2015-02-27,48
2015-02-28,49
