"start","Happy.Ending.movie."
2014-09-01,0
2014-09-02,1
2014-09-03,1
2014-09-04,0
2014-09-05,0
2014-09-06,1
2014-09-07,1
2014-09-08,1
2014-09-09,0
2014-09-10,0
2014-09-11,1
2014-09-12,1
2014-09-13,1
2014-09-14,1
2014-09-15,1
2014-09-16,0
2014-09-17,1
2014-09-18,1
2014-09-19,0
2014-09-20,1
2014-09-21,1
2014-09-22,1
2014-09-23,1
2014-09-24,1
2014-09-25,1
2014-09-26,0
2014-09-27,1
2014-09-28,1
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,1
2014-10-03,0
2014-10-04,1
2014-10-05,0
2014-10-06,1
2014-10-07,1
2014-10-08,1
2014-10-09,3
2014-10-10,7
2014-10-11,5
2014-10-12,4
2014-10-13,4
2014-10-14,3
2014-10-15,3
2014-10-16,3
2014-10-17,2
2014-10-18,4
2014-10-19,4
2014-10-20,3
2014-10-21,3
2014-10-22,5
2014-10-23,5
2014-10-24,4
2014-10-25,7
2014-10-26,6
2014-10-27,5
2014-10-28,5
2014-10-29,6
2014-10-30,7
2014-10-31,6
2014-11-01,7
2014-11-02,7
2014-11-03,4
2014-11-04,5
2014-11-05,5
2014-11-06,5
2014-11-07,6
2014-11-08,7
2014-11-09,7
2014-11-10,6
2014-11-11,5
2014-11-12,5
2014-11-13,6
2014-11-14,7
2014-11-15,16
2014-11-16,16
2014-11-17,13
2014-11-18,14
2014-11-19,15
2014-11-20,24
2014-11-21,78
2014-11-22,100
2014-11-23,77
2014-11-24,43
2014-11-25,41
2014-11-26,36
2014-11-27,37
2014-11-28,36
2014-11-29,41
2014-11-30,33
