"start","end","MSG.The.Messenger."
2015-02-01,2015-02-07,12
2015-02-08,2015-02-14,77
2015-02-15,2015-02-21,100
2015-02-22,2015-02-28,50
2015-03-01,2015-03-07,34
2015-03-08,2015-03-14,21
2015-03-15,2015-03-21,16
2015-03-22,2015-03-28,12
2015-03-29,2015-04-04,10
2015-04-05,2015-04-11,9
2015-04-12,2015-04-18,6
2015-04-19,2015-04-25,7
2015-04-26,2015-05-02,7
2015-05-03,2015-05-09,5
2015-05-10,2015-05-16,6
2015-05-17,2015-05-23,7
2015-05-24,2015-05-30,7
2015-05-31,2015-06-06,9
2015-06-07,2015-06-13,7
2015-06-14,2015-06-20,5
2015-06-21,2015-06-27,21
2015-06-28,2015-07-04,35
2015-07-05,2015-07-11,14
2015-07-12,2015-07-18,9
2015-07-19,2015-07-25,8
2015-07-26,2015-08-01,7
2015-08-02,2015-08-08,7
2015-08-09,2015-08-15,7
2015-08-16,2015-08-22,11
2015-08-23,2015-08-29,14
2015-08-30,2015-09-05,18
2015-09-06,2015-09-12,18
2015-09-13,2015-09-19,29
2015-09-20,2015-09-26,28
2015-09-27,2015-10-03,20
2015-10-04,2015-10-10,11
2015-10-11,2015-10-17,8
2015-10-18,2015-10-24,5
2015-10-25,2015-10-31,4
2015-11-01,2015-11-07,4
2015-11-08,2015-11-14,4
2015-11-15,2015-11-21,4
2015-11-22,2015-11-28,4
2015-11-29,2015-12-05,4
2015-12-06,2015-12-12,3
2015-12-13,2015-12-19,4
2015-12-20,2015-12-26,4
2015-12-27,2016-01-02,3
2016-01-03,2016-01-09,4
2016-01-10,2016-01-16,4
2016-01-17,2016-01-23,4
2016-01-24,2016-01-30,3
2016-01-31,2016-02-06,2
2016-02-07,2016-02-13,2
2016-02-14,2016-02-20,2
2016-02-21,2016-02-27,2
2016-02-28,2016-03-05,2
2016-03-06,2016-03-12,2
2016-03-13,2016-03-19,2
2016-03-20,2016-03-26,2
2016-03-27,2016-04-02,2
2016-04-03,2016-04-09,2
2016-04-10,2016-04-16,2
2016-04-17,2016-04-23,2
