"start","Murder.3.movie."
2013-01-01,4
2013-01-02,2
2013-01-03,2
2013-01-04,3
2013-01-05,3
2013-01-06,3
2013-01-07,6
2013-01-08,10
2013-01-09,12
2013-01-10,10
2013-01-11,11
2013-01-12,11
2013-01-13,12
2013-01-14,9
2013-01-15,8
2013-01-16,8
2013-01-17,13
2013-01-18,10
2013-01-19,16
2013-01-20,13
2013-01-21,12
2013-01-22,14
2013-01-23,13
2013-01-24,14
2013-01-25,15
2013-01-26,15
2013-01-27,13
2013-01-28,12
2013-01-29,12
2013-01-30,13
2013-01-31,14
2013-02-01,15
2013-02-02,14
2013-02-03,17
2013-02-04,11
2013-02-05,11
2013-02-06,12
2013-02-07,12
2013-02-08,12
2013-02-09,15
2013-02-10,13
2013-02-11,14
2013-02-12,15
2013-02-13,14
2013-02-14,23
2013-02-15,80
2013-02-16,100
2013-02-17,82
2013-02-18,57
2013-02-19,51
2013-02-20,49
2013-02-21,46
2013-02-22,46
2013-02-23,55
2013-02-24,43
2013-02-25,31
2013-02-26,26
2013-02-27,27
2013-02-28,24
