"start","Nautanki.Saala.movie."
2013-02-01,0
2013-02-02,0
2013-02-03,1
2013-02-04,0
2013-02-05,1
2013-02-06,1
2013-02-07,2
2013-02-08,1
2013-02-09,1
2013-02-10,2
2013-02-11,1
2013-02-12,1
2013-02-13,1
2013-02-14,0
2013-02-15,1
2013-02-16,1
2013-02-17,1
2013-02-18,1
2013-02-19,1
2013-02-20,0
2013-02-21,1
2013-02-22,2
2013-02-23,2
2013-02-24,4
2013-02-25,7
2013-02-26,8
2013-02-27,8
2013-02-28,7
2013-03-01,6
2013-03-02,8
2013-03-03,7
2013-03-04,8
2013-03-05,8
2013-03-06,8
2013-03-07,10
2013-03-08,7
2013-03-09,13
2013-03-10,13
2013-03-11,10
2013-03-12,10
2013-03-13,11
2013-03-14,11
2013-03-15,13
2013-03-16,14
2013-03-17,15
2013-03-18,10
2013-03-19,12
2013-03-20,12
2013-03-21,13
2013-03-22,13
2013-03-23,20
2013-03-24,20
2013-03-25,18
2013-03-26,17
2013-03-27,15
2013-03-28,18
2013-03-29,17
2013-03-30,16
2013-03-31,20
2013-04-01,17
2013-04-02,13
2013-04-03,12
2013-04-04,15
2013-04-05,18
2013-04-06,15
2013-04-07,19
2013-04-08,16
2013-04-09,16
2013-04-10,19
2013-04-11,26
2013-04-12,90
2013-04-13,100
2013-04-14,77
2013-04-15,50
2013-04-16,46
2013-04-17,39
2013-04-18,43
2013-04-19,45
2013-04-20,50
2013-04-21,39
2013-04-22,28
2013-04-23,25
2013-04-24,26
2013-04-25,23
2013-04-26,23
2013-04-27,32
2013-04-28,27
2013-04-29,16
2013-04-30,19
