"start","PK.movie."
2014-10-01,2
2014-10-02,2
2014-10-03,2
2014-10-04,2
2014-10-05,2
2014-10-06,2
2014-10-07,2
2014-10-08,2
2014-10-09,2
2014-10-10,2
2014-10-11,2
2014-10-12,2
2014-10-13,2
2014-10-14,2
2014-10-15,2
2014-10-16,2
2014-10-17,3
2014-10-18,3
2014-10-19,3
2014-10-20,2
2014-10-21,2
2014-10-22,2
2014-10-23,3
2014-10-24,4
2014-10-25,4
2014-10-26,3
2014-10-27,3
2014-10-28,3
2014-10-29,3
2014-10-30,3
2014-10-31,3
2014-11-01,3
2014-11-02,3
2014-11-03,3
2014-11-04,3
2014-11-05,3
2014-11-06,3
2014-11-07,3
2014-11-08,4
2014-11-09,4
2014-11-10,3
2014-11-11,3
2014-11-12,3
2014-11-13,3
2014-11-14,4
2014-11-15,4
2014-11-16,4
2014-11-17,4
2014-11-18,4
2014-11-19,4
2014-11-20,4
2014-11-21,4
2014-11-22,5
2014-11-23,5
2014-11-24,4
2014-11-25,4
2014-11-26,4
2014-11-27,4
2014-11-28,4
2014-11-29,5
2014-11-30,5
2014-12-01,4
2014-12-02,4
2014-12-03,4
2014-12-04,4
2014-12-05,5
2014-12-06,6
2014-12-07,6
2014-12-08,4
2014-12-09,4
2014-12-10,5
2014-12-11,5
2014-12-12,6
2014-12-13,7
2014-12-14,7
2014-12-15,6
2014-12-16,6
2014-12-17,9
2014-12-18,15
2014-12-19,88
2014-12-20,100
2014-12-21,84
2014-12-22,67
2014-12-23,59
2014-12-24,66
2014-12-25,72
2014-12-26,59
2014-12-27,59
2014-12-28,54
2014-12-29,48
2014-12-30,49
2014-12-31,51
