"start","The.Shaukeens.movie."
2014-09-01,7
2014-09-02,2
2014-09-03,2
2014-09-04,2
2014-09-05,2
2014-09-06,5
2014-09-07,3
2014-09-08,3
2014-09-09,2
2014-09-10,2
2014-09-11,5
2014-09-12,4
2014-09-13,6
2014-09-14,8
2014-09-15,2
2014-09-16,2
2014-09-17,2
2014-09-18,2
2014-09-19,2
2014-09-20,4
2014-09-21,11
2014-09-22,17
2014-09-23,11
2014-09-24,5
2014-09-25,6
2014-09-26,5
2014-09-27,18
2014-09-28,22
2014-09-29,8
2014-09-30,8
2014-10-01,8
2014-10-02,28
2014-10-03,24
2014-10-04,26
2014-10-05,31
2014-10-06,21
2014-10-07,25
2014-10-08,27
2014-10-09,22
2014-10-10,39
2014-10-11,56
2014-10-12,54
2014-10-13,40
2014-10-14,45
2014-10-15,50
2014-10-16,50
2014-10-17,54
2014-10-18,85
2014-10-19,77
2014-10-20,68
2014-10-21,80
2014-10-22,85
2014-10-23,68
2014-10-24,91
2014-10-25,99
2014-10-26,100
2014-10-27,72
2014-10-28,81
2014-10-29,88
2014-10-30,84
2014-10-31,94
