"start","The.Xpose.movie."
2014-04-01,1
2014-04-02,0
2014-04-03,15
2014-04-04,32
2014-04-05,35
2014-04-06,33
2014-04-07,35
2014-04-08,37
2014-04-09,37
2014-04-10,45
2014-04-11,42
2014-04-12,58
2014-04-13,51
2014-04-14,45
2014-04-15,38
2014-04-16,34
2014-04-17,38
2014-04-18,40
2014-04-19,45
2014-04-20,41
2014-04-21,35
2014-04-22,34
2014-04-23,32
2014-04-24,34
2014-04-25,33
2014-04-26,38
2014-04-27,40
2014-04-28,30
2014-04-29,35
2014-04-30,35
2014-05-01,38
2014-05-02,35
2014-05-03,39
2014-05-04,43
2014-05-05,36
2014-05-06,34
2014-05-07,35
2014-05-08,35
2014-05-09,35
2014-05-10,43
2014-05-11,41
2014-05-12,34
2014-05-13,34
2014-05-14,36
2014-05-15,42
2014-05-16,77
2014-05-17,100
2014-05-18,82
2014-05-19,59
2014-05-20,56
2014-05-21,52
2014-05-22,52
2014-05-23,55
2014-05-24,55
2014-05-25,49
2014-05-26,41
2014-05-27,34
2014-05-28,35
2014-05-29,39
2014-05-30,33
2014-05-31,38
