"movies","release","trailer","r1","r2","r3","r4","r5","r6"
"2 States","4/26/2014","2/27/2014",2014-05-03,2014-05-10,2014-05-17,2014-05-24,2014-05-31,2014-06-07
"300 Rise of an Empire","3/15/2014","6/12/2013",2014-03-22,2014-03-29,2014-04-05,2014-04-12,2014-04-19,2014-04-26
"47 Ronin","11/1/2014","7/24/2013",2014-11-08,2014-11-15,2014-11-22,2014-11-29,2014-12-06,2014-12-13
"A Good Day To Die Hard ","2/3/2013","1/3/2013",2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17
"Aatma","3/30/2013","2/11/2013",2013-04-06,2013-04-13,2013-04-20,2013-04-27,2013-05-04,2013-05-11
"ABCD 2","6/27/2015","4/21/2015",2015-07-04,2015-07-11,2015-07-18,2015-07-25,2015-08-01,2015-08-08
"Action Jackson","12/13/2014","10/22/2014",2014-12-20,2014-12-27,2015-01-03,2015-01-10,2015-01-17,2015-01-24
"After Earth","6/15/2013","3/8/2013",2013-06-22,2013-06-29,2013-07-06,2013-07-13,2013-07-20,2013-07-27
"All Is Well","8/29/2015","7/1/2015",2015-09-05,2015-09-12,2015-09-19,2015-09-26,2015-10-03,2015-10-10
"Alone","1/24/2015","12/9/2014",2015-01-31,2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07
"Aurangzeb","5/25/2013","4/2/2013",2013-06-01,2013-06-08,2013-06-15,2013-06-22,2013-06-29,2013-07-06
"Baby","1/31/2015","12/3/2014",2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07,2015-03-14
"Bahubali (Hindi)","7/18/2015","5/2/2015",2015-07-25,2015-08-01,2015-08-08,2015-08-15,2015-08-22,2015-08-29
"Bajrangi Bhaijaan","7/25/2015","6/18/2015",2015-08-01,2015-08-08,2015-08-15,2015-08-22,2015-08-29,2015-09-05
"Bang Bang","11/10/2014","7/22/2014",2014-11-17,2014-11-24,2014-12-01,2014-12-08,2014-12-15,2014-12-22
"Besharam","10/2/2013","7/30/2013",2013-10-09,2013-10-16,2013-10-23,2013-10-30,2013-11-06,2013-11-13
"Bewakoofiyaan","3/22/2014","2/6/2014",2014-03-29,2014-04-05,2014-04-12,2014-04-19,2014-04-26,2014-05-03
"Bhaag Milkha Bhaag","7/20/2013","11/29/2012",2013-07-27,2013-08-03,2013-08-10,2013-08-17,2013-08-24,2013-08-31
"Bhoot Returns","10/20/2012","9/7/2012",2012-10-27,2012-11-03,2012-11-10,2012-11-17,2012-11-24,2012-12-01
"Bhoothnath Returns","4/19/2014","2/25/2014",2014-04-26,2014-05-03,2014-05-10,2014-05-17,2014-05-24,2014-05-31
"Bhopal A Prayer For Rain","12/13/2014","9/17/2014",2014-12-20,2014-12-27,2015-01-03,2015-01-10,2015-01-17,2015-01-24
"Bombay Talkies","5/3/2013","3/25/2013",2013-05-10,2013-05-17,2013-05-24,2013-05-31,2013-06-07,2013-06-14
"Bombay Velvet","5/23/2015","3/18/2015",2015-05-30,2015-06-06,2015-06-13,2015-06-20,2015-06-27,2015-07-04
"Brothers","8/22/2015","6/10/2015",2015-08-29,2015-09-05,2015-09-12,2015-09-19,2015-09-26,2015-10-03
"Chashme Baddoor","4/13/2013","2/7/2013",2013-04-20,2013-04-27,2013-05-04,2013-05-11,2013-05-18,2013-05-25
"Chennai Express","8/17/2013","6/13/2013",2013-08-24,2013-08-31,2013-09-07,2013-09-14,2013-09-21,2013-09-28
"D-Day","7/27/2013","3/22/2013",2013-08-03,2013-08-10,2013-08-17,2013-08-24,2013-08-31,2013-09-07
"Daawat-e-Ishq","9/27/2014","7/7/2014",2014-10-04,2014-10-11,2014-10-18,2014-10-25,2014-11-01,2014-11-08
"Dabangg 2","12/29/2012","11/10/2012",2013-01-05,2013-01-12,2013-01-19,2013-01-26,2013-02-02,2013-02-09
"David","9/2/2013","12/13/2012",2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14
"Dawn of the Planet of the Apes","7/19/2014","12/18/2013",2014-07-26,2014-08-02,2014-08-09,2014-08-16,2014-08-23,2014-08-30
"Dedh Ishqiya","1/18/2014","11/25/2013",2014-01-25,2014-02-01,2014-02-08,2014-02-15,2014-02-22,2014-03-01
"Dhoom 3","12/28/2013","10/30/2013",2014-01-04,2014-01-11,2014-01-18,2014-01-25,2014-02-01,2014-02-08
"Dil Dhadakne Do","6/13/2015","4/15/2015",2015-06-20,2015-06-27,2015-07-04,2015-07-11,2015-07-18,2015-07-25
"Dirty Politics","3/14/2015","12/21/2014",2015-03-21,2015-03-28,2015-04-04,2015-04-11,2015-04-18,2015-04-25
"Dolly Ki Doli","1/31/2015","12/12/2014",2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07,2015-03-14
"Dragon Blade","4/4/2015","1/1/2015",2015-04-11,2015-04-18,2015-04-25,2015-05-02,2015-05-09,2015-05-16
"Drishyam","8/8/2015","4/1/2015",2015-08-15,2015-08-22,2015-08-29,2015-09-05,2015-09-12,2015-09-19
"Dum Laga Ke Haisha","7/3/2015","5/2/2015",2015-07-10,2015-07-17,2015-07-24,2015-07-31,2015-08-07,2015-08-14
"Ek Villain","5/7/2014","3/4/2014",2014-05-14,2014-05-21,2014-05-28,2014-06-04,2014-06-11,2014-06-18
"Everest","9/26/2015","4/1/2015",2015-10-03,2015-10-10,2015-10-17,2015-10-24,2015-10-31,2015-11-07
"Exodus Gods and Kings","12/13/2014","1/10/2014",2014-12-20,2014-12-27,2015-01-03,2015-01-10,2015-01-17,2015-01-24
"Fantastic Four","8/29/2015","4/19/2015",2015-09-05,2015-09-12,2015-09-19,2015-09-26,2015-10-03,2015-10-10
"Filmistaan","6/14/2014","4/16/2014",2014-06-21,2014-06-28,2014-07-05,2014-07-12,2014-07-19,2014-07-26
"Finding Fanny","9/20/2014","8/7/2014",2014-09-27,2014-10-04,2014-10-11,2014-10-18,2014-10-25,2014-11-01
"Furious 7","11/4/2015","1/11/2014",2015-11-11,2015-11-18,2015-11-25,2015-12-02,2015-12-09,2015-12-16
"Gabbar Is Back","9/5/2015","3/23/2015",2015-09-12,2015-09-19,2015-09-26,2015-10-03,2015-10-10,2015-10-17
"Go Goa Gone","5/18/2013","3/25/2013",2013-05-25,2013-06-01,2013-06-08,2013-06-15,2013-06-22,2013-06-29
"Godzilla","5/24/2014","2/25/2014",2014-05-31,2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05
"Gori Tere Pyaar Mein","11/30/2013","9/9/2013",2013-12-07,2013-12-14,2013-12-21,2013-12-28,2014-01-04,2014-01-11
"Grand Masti","9/21/2013","7/17/2013",2013-09-28,2013-10-05,2013-10-12,2013-10-19,2013-10-26,2013-11-02
"Gunday","2/22/2014","12/13/2013",2014-03-01,2014-03-08,2014-03-15,2014-03-22,2014-03-29,2014-04-05
"Haider","11/10/2014","8/7/2014",2014-11-17,2014-11-24,2014-12-01,2014-12-08,2014-12-15,2014-12-22
"Hamari Adhuri Kahani","6/20/2015","4/5/2015",2015-06-27,2015-07-04,2015-07-11,2015-07-18,2015-07-25,2015-08-01
"Happy Ending","11/29/2014","9/10/2014",2014-12-06,2014-12-13,2014-12-20,2014-12-27,2015-01-03,2015-01-10
"Hasee Toh Phasee","2/15/2014","12/13/2013",2014-02-22,2014-03-01,2014-03-08,2014-03-15,2014-03-22,2014-03-29
"Hate Story 2","7/26/2014","5/6/2014",2014-08-02,2014-08-09,2014-08-16,2014-08-23,2014-08-30,2014-09-06
"Heropanti","5/31/2014","4/4/2014",2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05,2014-07-12
"Highway","1/3/2014","12/16/2013",2014-01-10,2014-01-17,2014-01-24,2014-01-31,2014-02-07,2014-02-14
"Himmatwala","6/4/2013","1/24/2013",2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16
"Holiday ","6/14/2014","3/2/2014",2014-06-21,2014-06-28,2014-07-05,2014-07-12,2014-07-19,2014-07-26
"Horror Story","9/21/2013","8/21/2013",2013-09-28,2013-10-05,2013-10-12,2013-10-19,2013-10-26,2013-11-02
"Humpty Sharma Ki Dulhania","7/19/2014","5/25/2014",2014-07-26,2014-08-02,2014-08-09,2014-08-16,2014-08-23,2014-08-30
"Humshakals","6/28/2014","4/30/2014",2014-07-05,2014-07-12,2014-07-19,2014-07-26,2014-08-02,2014-08-09
"Hunterrr","3/28/2015","1/15/2015",2015-04-04,2015-04-11,2015-04-18,2015-04-25,2015-05-02,2015-05-09
"I (Hindi)","1/24/2015","12/21/2014",2015-01-31,2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07
"Iron Man 3","4/5/2013","10/22/2012",2013-04-12,2013-04-19,2013-04-26,2013-05-03,2013-05-10,2013-05-17
"Jackpot","12/28/2013","10/28/2013",2014-01-04,2014-01-11,2014-01-18,2014-01-25,2014-02-01,2014-02-08
"Jai Ho","1/2/2014","12/15/2013",2014-01-09,2014-01-16,2014-01-23,2014-01-30,2014-02-06,2014-02-13
"Jazbaa","10/17/2015","8/25/2015",2015-10-24,2015-10-31,2015-11-07,2015-11-14,2015-11-21,2015-11-28
"Jolly LLB","3/23/2013","1/8/2013",2013-03-30,2013-04-06,2013-04-13,2013-04-20,2013-04-27,2013-05-04
"Jurassic World","6/20/2015","11/25/2014",2015-06-27,2015-07-04,2015-07-11,2015-07-18,2015-07-25,2015-08-01
"Kai Po Che","2/3/2013","12/20/2012",2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17
"Katti Batti","9/26/2015","6/14/2015",2015-10-03,2015-10-10,2015-10-17,2015-10-24,2015-10-31,2015-11-07
"Khoobsurat","9/27/2014","7/21/2014",2014-10-04,2014-10-11,2014-10-18,2014-10-25,2014-11-01,2014-11-08
"Kill Dil","11/22/2014","9/17/2014",2014-11-29,2014-12-06,2014-12-13,2014-12-20,2014-12-27,2015-01-03
"Kingsman The Secret Service","7/3/2015","5/21/2014",2015-07-10,2015-07-17,2015-07-24,2015-07-31,2015-08-07,2015-08-14
"Krrish 3","9/11/2013","5/8/2013",2013-09-18,2013-09-25,2013-10-02,2013-10-09,2013-10-16,2013-10-23
"Lingaa (Hindi)","3/1/2015","11/15/2014",2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12
"Mere Dad Ki Maruti","3/23/2013","11/11/2012",2013-03-30,2013-04-06,2013-04-13,2013-04-20,2013-04-27,2013-05-04
"Mission Impossible Rogue Nation","8/15/2015","3/23/2015",2015-08-22,2015-08-29,2015-09-05,2015-09-12,2015-09-19,2015-09-26
"Mr. X","4/25/2015","3/9/2015",2015-05-02,2015-05-09,2015-05-16,2015-05-23,2015-05-30,2015-06-06
"MSG The Messenger ","2/21/2015","12/18/2014",2015-02-28,2015-03-07,2015-03-14,2015-03-21,2015-03-28,2015-04-04
"Murder 3","2/23/2013","1/7/2013",2013-03-02,2013-03-09,2013-03-16,2013-03-23,2013-03-30,2013-04-06
"Nautanki Saala","4/20/2013","2/6/2013",2013-04-27,2013-05-04,2013-05-11,2013-05-18,2013-05-25,2013-06-01
"NH 10","3/21/2015","2/5/2015",2015-03-28,2015-04-04,2015-04-11,2015-04-18,2015-04-25,2015-05-02
"Oblivion","4/20/2013","12/8/2012",2013-04-27,2013-05-04,2013-05-11,2013-05-18,2013-05-25,2013-06-01
"Phantom","5/9/2015","12/15/2014",2015-05-16,2015-05-23,2015-05-30,2015-06-06,2015-06-13,2015-06-20
"Piku","5/16/2015","3/26/2015",2015-05-23,2015-05-30,2015-06-06,2015-06-13,2015-06-20,2015-06-27
"PK","12/27/2014","10/23/2014",2015-01-03,2015-01-10,2015-01-17,2015-01-24,2015-01-31,2015-02-07
"Policegiri","7/13/2013","5/28/2013",2013-07-20,2013-07-27,2013-08-03,2013-08-10,2013-08-17,2013-08-24
"Queen","3/15/2014","12/20/2013",2014-03-22,2014-03-29,2014-04-05,2014-04-12,2014-04-19,2014-04-26
"R Rajkumar","12/14/2013","10/1/2013",2013-12-21,2013-12-28,2014-01-04,2014-01-11,2014-01-18,2014-01-25
"Raanjhanaa","6/29/2013","4/23/2013",2013-07-06,2013-07-13,2013-07-20,2013-07-27,2013-08-03,2013-08-10
"Race 2","2/2/2013","11/12/2012",2013-02-09,2013-02-16,2013-02-23,2013-03-02,2013-03-09,2013-03-16
"Ragini MMS 2","3/29/2014","2/2/2014",2014-04-05,2014-04-12,2014-04-19,2014-04-26,2014-05-03,2014-05-10
"Ramaiya Vastavaiya","7/27/2013","5/19/2013",2013-08-03,2013-08-10,2013-08-17,2013-08-24,2013-08-31,2013-09-07
"Robocop ","2/22/2014","11/5/2013",2014-03-01,2014-03-08,2014-03-15,2014-03-22,2014-03-29,2014-04-05
"Roy","2/21/2015","1/16/2014",2015-02-28,2015-03-07,2015-03-14,2015-03-21,2015-03-28,2015-04-04
"Rudhramadevi (Hindi)","10/17/2015","10/1/2015",2015-10-24,2015-10-31,2015-11-07,2015-11-14,2015-11-21,2015-11-28
"Tanu Weds Manu Returns","5/30/2015","4/14/2015",2015-06-06,2015-06-13,2015-06-20,2015-06-27,2015-07-04,2015-07-11
"Tevar","1/17/2015","11/10/2014",2015-01-24,2015-01-31,2015-02-07,2015-02-14,2015-02-21,2015-02-28
"The Lunchbox","9/28/2013","8/14/2013",2013-10-05,2013-10-12,2013-10-19,2013-10-26,2013-11-02,2013-11-09
"The Shaukeens","11/15/2014","9/27/2014",2014-11-22,2014-11-29,2014-12-06,2014-12-13,2014-12-20,2014-12-27
"The Xpose","5/24/2014","4/3/2014",2014-05-31,2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05
"X Men Days of Future Past ","5/31/2014","10/29/2013",2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05,2014-07-12
"Yaariyan","1/18/2014","10/30/2013",2014-01-25,2014-02-01,2014-02-08,2014-02-15,2014-02-22,2014-03-01
"Yeh Jawaani Hai Deewani","8/6/2013","3/19/2013",2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17
"Youngistaan","5/4/2014","1/31/2014",2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15
"Zanjeer","9/14/2013","4/7/2013",2013-09-21,2013-09-28,2013-10-05,2013-10-12,2013-10-19,2013-10-26
