movies,p0,p1,p2,p3,p4,p5,p6
2 States,18.5,100,65,44,35,29,24
300 Rise of an Empire,4.64,100,65,54,36,28,25
47 Ronin,10.73,100,81,65,45,36,29
A Good Day To Die Hard ,23.85,100,72,50,37,36,35
Aatma,22.16,100,45,25,18,15,12
ABCD 2,19.22,100,60,39,31,29,23
Action Jackson,19.14,100,51,35,24,16,13
After Earth,6.33,12,14,19,61,100,78
All Is Well,4,16,48,49,47,59,61
Alone,45,100,55,36,27,22,17
Aurangzeb,22.57,100,48,24,17,14,12
Baby,23.25,100,55,38,30,22,20
Bahubali (Hindi),3.45,100,71,48,38,28,22
Bajrangi Bhaijaan,8.83,100,59,40,28,23,18
Bang Bang,19,100,55,39,27,19,16
Besharam,18.9,68,38,21,16,13,10
Bewakoofiyaan,5.2,57,100,56,50,48,48
Bhaag Milkha Bhaag,2.09,100,71,48,39,31,23
Bhoot Returns,16.6,100,57,36,21,15,13
Bhoothnath Returns,10.85,100,56,47,36,31,28
Bhopal A Prayer For Rain,7.25,100,45,25,20,9,9
Bombay Talkies,20.5,100,46,32,23,20,15
Bombay Velvet,15.88,100,36,20,13,9,7
Brothers,19.5,100,51,31,22,17,15
Chashme Baddoor,11.44,100,58,39,34,26,21
Chennai Express,11.66,100,64,47,35,27,22
D-Day,9.16,100,45,31,21,15,17
Daawat-e-Ishq,19.18,100,49,35,24,26,22
Dabangg 2,13,100,50,29,22,20,16
David,43.25,93,52,41,36,29,28
Dawn of the Planet of the Apes,4.7,100,80,63,44,33,25
Dedh Ishqiya,12.57,100,53,36,27,19,16
Dhoom 3,11.62,100,52,31,22,17,15
Dil Dhadakne Do,10.25,100,63,37,30,26,22
Dirty Politics,17.81,100,45,32,24,18,14
Dolly Ki Doli,15.28,100,50,28,21,16,14
Dragon Blade,33.02,34,23,19,16,13,25
Drishyam,6.05,100,66,38,26,19,15
Dum Laga Ke Haisha,12.5,100,89,57,50,47,33
Ek Villain,10.29,100,61,43,35,36,28
Everest,5.88,100,69,40,27,22,23
Exodus Gods and Kings,3.06,100,97,96,85,43,33
Fantastic Four,7.94,51,35,25,17,15,13
Filmistaan,8.5,100,49,24,14,11,8
Finding Fanny,17.5,100,46,29,17,13,11
Furious 7,2.4,100,53,34,27,20,19
Gabbar Is Back,9.66,100,64,43,32,26,22
Go Goa Gone,15.71,100,64,46,30,22,20
Godzilla,22.69,55,35,25,22,18,16
Gori Tere Pyaar Mein,9.72,100,62,44,38,40,32
Grand Masti,8.88,100,65,44,30,26,20
Gunday,13.6,100,56,34,27,22,18
Haider,17.22,100,48,29,20,13,9
Hamari Adhuri Kahani,14.1,100,62,47,39,32,33
Happy Ending,14.19,100,48,27,19,23,21
Hasee Toh Phasee,10.44,100,70,50,38,34,28
Hate Story 2,20.63,100,67,48,33,28,23
Heropanti,17.5,100,74,56,40,30,22
Highway,18.7,100,51,33,23,19,17
Himmatwala,17.1,100,48,30,20,16,14
Holiday ,12.6,100,64,44,28,21,16
Horror Story,24.5,100,71,53,53,45,35
Humpty Sharma Ki Dulhania,13.85,100,63,51,40,29,24
Humshakals,17.12,100,46,31,22,19,20
Hunterrr,7.6,100,74,46,28,22,29
I (Hindi),33.5,100,63,45,35,32,26
Iron Man 3,6.92,100,81,53,40,36,28
Jackpot,36,100,56,40,29,21,21
Jai Ho,24.66,100,51,28,18,13,11
Jazbaa,24.71,100,50,31,22,16,15
Jolly LLB,8.1,100,69,41,27,20,17
Jurassic World,3.8,100,63,45,35,29,24
Kai Po Che,7.5,100,46,28,22,21,14
Katti Batti,10.85,100,42,23,14,11,8
Khoobsurat,18.33,100,59,39,25,21,17
Kill Dil,16,100,54,32,21,17,20
Kingsman The Secret Service,9.19,86,79,70,63,56,45
Krrish 3,9.69,61,39,29,23,18,18
Lingaa (Hindi),28.14,100,53,35,29,18,14
Mere Dad Ki Maruti,5.27,100,87,53,40,27,25
Mission Impossible Rogue Nation,4.68,100,93,68,51,42,40
Mr. X,37.5,100,59,37,28,22,17
MSG The Messenger ,16.4,100,48,36,22,18,10
Murder 3,29.16,100,54,32,27,25,23
Nautanki Saala,23.7,100,59,39,28,22,21
NH 10,16.66,100,57,39,19,11,12
Oblivion,10,100,92,49,29,21,17
Phantom,6.37,93,43,25,18,15,12
Piku,12.14,100,72,49,34,26,20
PK,10.22,100,78,52,36,27,20
Policegiri,15.66,100,61,41,31,27,31
Queen,13.33,100,80,63,45,35,31
R Rajkumar,12.7,100,69,51,36,26,20
Raanjhanaa,7.77,100,99,66,43,32,28
Race 2,13.36,100,65,44,34,25,22
Ragini MMS 2,15.71,100,61,45,38,30,27
Ramaiya Vastavaiya,20.77,100,66,54,45,37,32
Robocop ,8.15,50,97,100,64,47,36
Roy,8.77,100,48,33,25,26,29
Rudhramadevi (Hindi),18.5,100,66,39,25,20,17
Tanu Weds Manu Returns,6.66,100,79,52,37,32,26
Tevar,14.14,100,49,26,19,15,14
The Lunchbox,16,100,43,23,21,15,13
The Shaukeens,24.14,100,54,34,25,20,19
The Xpose,38.36,100,65,48,34,26,20
X Men Days of Future Past ,7.3,100,64,42,36,32,26
Yaariyan,35.18,100,76,53,43,35,30
Yeh Jawaani Hai Deewani,10.72,100,73,62,55,50,42
Youngistaan,22.77,100,68,47,35,33,27
Zanjeer,8.68,76,29,18,14,11,10
